iter	Passed	Remaining
0	126	25174
1	234	23168
2	325	21401
3	457	22395
4	529	20661
5	669	21649
6	810	22345
7	956	22958
8	1046	22201
9	1196	22734
10	1328	22823
11	1441	22587
12	1590	22872
13	1677	22282
14	1799	22188
15	1875	21569
16	1985	21377
17	2069	20920
18	2156	20542
19	2222	20002
20	2352	20055
21	2456	19878
22	2533	19496
23	2624	19249
24	2724	19071
25	2821	18884
26	2905	18618
27	2996	18408
28	3100	18281
29	3183	18042
30	3262	17787
331	3611	18958332	3694	1869733	3561	17389
34	3861	18202
35	3963	18056
36	4105	18086
37	4042	17232
38	4133	17063
39	4226	16905
40	4516	17515
41	4624	17397
42	4715	17218
43	4823	17100
44	4922	16956
45	5023	16819
46	5122	16675
47	5019	15893
448	5375	1656549	5248	15744
550	5584	16315551	5668	1613252	5736	15910
53	5847	15810
54	5946	15677
55	6044	15544
56	6136	15396
57	6253	15309
58	6370	15225
59	6476	15111
60	6589	15014
61	6703	14920
62	6831	14856
63	6970	14813
64	7075	14695
65	7211	14641
66	7345	14581
67	7480	14520
68	7609	14447
69	7738	14372
70	7871	14300
71	7948	14131
72	8034	13978
73	8113	13814
74	8234	13723
75	8303	13548
76	8378	13384
77	8446	13211
78	8526	13059
79	8587	12880
80	8650	12708
81	8719	12547
82	8772	12365
83	8830	12193
84	8888	12025
85	8939	11849
86	8989	11676
87	9047	11515
88	9112	11364
89	9170	11207
90	9224	11049
91	9281	10895
92	9347	10754
93	9396	10596
94	9452	10447
95	9515	10308
96	9572	10164
97	9641	10034
98	9707	9903
99	9779	9779
100	9840	9645
101	9938	9548
102	10017	9433
103	10104	9327
104	10168	9200
105	10239	9080
106	10302	8954
107	10375	8838
108	10444	8719
109	10506	8596
110	10567	8473
111	10648	8366
112	10723	8255
113	10779	8132
114	10838	8010
115	10900	7893
116	10955	7772
117	11012	7653
118	11077	7539
119	11132	7421
120	11183	7301
121	11239	7185
122	11294	7070
123	11345	6953
124	11398	6839
125	11457	6728
126	11516	6619
127	11567	6506
128	11620	6395
129	11668	6283
130	11724	6175
131	11784	6070
132	11836	5962
133	11896	5859
134	11951	5754
135	12005	5649
136	12065	5548
137	12124	5447
138	12188	5348
139	12250	5250
140	12443	5206
141	12532	5118
142	12637	5037
143	12698	4938
144	12755	4838
145	12814	4739
146	12890	4647
147	12953	4551
148	13013	4454
149	13061	4353
150	13111	4254
151	13164	4157
152	13221	4061
153	13282	3967
154	13347	3875
155	13411	3782
156	13467	3688
157	13519	3593
158	13583	3502
159	13630	3407
160	13676	3312
161	13722	3218
162	13760	3123
163	13797	3028
164	13839	2935
165	13891	2845
166	13938	2754
167	13979	2662
168	14014	2570
169	14059	2481
170	14101	2391
171	14134	2300
172	14173	2211
173	14207	2122
174	14242	2034
175	14289	1948
176	14326	1861
177	14359	1774
178	14395	1688
179	14433	1603
180	14467	1518
181	14497	1433
182	14533	1350
183	14564	1266
184	14605	1184
185	14638	1101
186	14671	1019
187	14705	938
188	14742	858
189	14789	778
190	14832	698
191	14872	619
192	14900	540
193	14921	461
194	14939	383
195	14953	305
196	14967	227
197	14983	151
198	14999	75
199	15013	0
